,Well,Size,Bit_Number,Re_Run,Reference,Type,Structure,Formation,Footage,Depth in,Depth out,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Min WOB,Max WOB,ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
35,Florida 7,8.5,21,N,MSi813WUPX,PDC,Anticlinal F,Guadalupe,29.000000000000004,14311,14554,14432.5,8.0,13.0,450.0,465.0,0.973,0.85,10.000000000000002,26.0,2.79,8.2,RSS,80.0,95.0,15.0,12.0,Smith
36,Florida 7,8.5,21,N,MSi813WUPX,PDC,Anticlinal F,Barco,213.99999999999994,14311,14554,14432.5,8.0,13.0,450.0,465.0,0.973,0.85,10.000000000000002,26.0,2.79,8.2,RSS,80.0,95.0,15.0,12.0,Smith
37,Florida 7,8.5,23,N,Q408FX,PDC,Anticlinal F,Barco,76.0,14570,14666,14618.0,8.0,13.0,420.0,465.0,0.982,0.7309172785888888,4.999999999999999,22.0,2.8,8.2,RSS,80.0,120.0,15.0,11.4,Hughes
38,Florida 7,8.5,23,N,Q408FX,PDC,Anticlinal F,Los Cuervos,19.999999999999996,14570,14666,14618.0,8.0,13.0,420.0,465.0,0.982,0.7309172785888888,4.999999999999999,22.0,2.8,8.2,RSS,80.0,120.0,15.0,11.4,Hughes
39,Florida 7,6.0,24,RR,DSR713M,PDC,Anticlinal F,Los Cuervos,13.0,14666,14679,14672.5,7.0,13.0,200.0,220.0,0.82,0.267,6.999999999999999,20.0,13.0,9.8,Rotary,68.0,68.0,9.3,9.7,Hycalog
40,Florida 7,6.0,24,R4,DSR713M,PDC,Anticlinal F,Los Cuervos,9.000000000000002,14682,14691,14686.5,7.0,13.0,150.0,400.0,0.819,1.78,4.999999999999999,10.0,4.24,9.8,Rotary,90.0,100.0,9.6,9.0,Hycalog
41,Florida 7,6.0,24,R5,DSR713M,PDC,Anticlinal F,Los Cuervos,169.0,14691,15272,14981.5,7.0,13.0,220.0,250.0,0.976,0.324,4.999999999999999,16.0,8.3,9.8,RSS,70.0,120.0,10.1,8.65,Hycalog
42,Florida 7,6.0,24,R5,DSR713M,PDC,Anticlinal F,C8,348.00000000000006,14691,15272,14981.5,7.0,13.0,220.0,250.0,0.976,0.324,4.999999999999999,16.0,8.3,9.8,RSS,70.0,120.0,10.1,8.65,Hycalog
43,Florida 7,6.0,24,R5,DSR713M,PDC,Anticlinal F,Mirador,63.99999999999998,14691,15272,14981.5,7.0,13.0,220.0,250.0,0.976,0.324,4.999999999999999,16.0,8.3,9.8,RSS,70.0,120.0,10.1,8.65,Hycalog
44,Florida 7,6.0,25,N,Q406HX,PDC,Anticlinal F,Mirador,101.99999999999996,15272,15374,15323.0,6.0,13.0,250.0,250.0,0.971,0.301,4.0,16.0,2.7,10.6,Rotary,80.0,100.0,11.0,11.5,Hughes
45,Florida 7,6.0,26,N,HHS352,Impregnated,Anticlinal F,Mirador,149.99999999999997,15374,15524,15449.0,12.0,8.0,250.0,250.0,1.087,0.3,1.0,6.0,1.67,10.6,RSS,30.0,50.0,9.95,9.6,Hughes
46,Florida 7,6.0,27,N,K505TBPXXC,Impregnated,Anticlinal F,Mirador,254.0,15524,15778,15651.0,12.0,5.0,200.0,212.0,0.5,1.0,2.0,7.0,3.44,10.6,Turbine,200.0,212.0,10.100000000000001,9.5,Smith
47,Florida 7,6.0,28,N,QD307F,PDC,Anticlinal F,Mirador,74.00000000000003,15778,15989,15883.5,7.0,11.0,250.0,270.0,2.14,0.07816700188025687,59.999999999999986,60.0,4.0,10.6,Turbine,185.0,185.0,10.56,9.79,Hughes
48,Florida 7,6.0,28,N,QD307F,PDC,Anticlinal F,C8,115.99999999999999,15778,15989,15883.5,7.0,11.0,250.0,270.0,2.14,0.07816700188025687,59.999999999999986,60.0,4.0,10.6,Turbine,185.0,185.0,10.56,9.79,Hughes
49,Florida 7,6.0,28,N,QD307F,PDC,Anticlinal P,C8,21.0,15778,15989,15883.5,7.0,11.0,250.0,270.0,2.14,0.07816700188025687,59.999999999999986,60.0,4.0,10.6,Turbine,185.0,185.0,10.56,9.79,Hughes
50,Florida 7,4.125,29,N,DSR711M,PDC,Anticlinal P,C8,414.99999999999983,15989,16465,16227.0,7.0,11.0,220.0,250.0,1.022,0.31,2.0,10.0,6.24,10.6,Motor,142.0,146.0,10.4,9.8,Hycalog
51,Florida 7,4.125,29,N,DSR711M,PDC,Anticlinal P,Mirador,61.00000000000001,15989,16465,16227.0,7.0,11.0,220.0,250.0,1.022,0.31,2.0,10.0,6.24,10.6,Motor,142.0,146.0,10.4,9.8,Hycalog
52,Florida 7,4.125,30,N,MSi613,PDC,Anticlinal P,Mirador,11.000000000000002,16465,16476,16470.5,6.0,13.0,250.0,293.0,0.778,0.52,2.0,10.0,4.58,10.6,Rotary,50.0,80.0,11.6,10.6,Smith
53,Florida 7,4.125,31,R,QD205FX,PDC,Anticlinal P,Mirador,74.00000000000003,16476,16550,16513.0,5.0,11.0,110.0,110.0,0.552,0.323,1.0,4.0,1.28,8.7,Rotary,50.0,80.0,10.2,4.6,Hughes
54,Florida 7,4.125,32,N,HHS158,PDC,Anticlinal P,Mirador,37.99999999999999,16550,16588,16569.0,8.0,11.0,100.0,107.0,0.79,0.06199045754166958,1.5,4.5,1.36,8.7,Motor,240.0,270.0,10.12,9.7,Hughes
55,Florida 7,4.125,33,N,QD205FX,PDC,Anticlinal P,Mirador,159.99999999999994,16588,16748,16668.0,5.0,11.0,103.0,108.0,0.648,0.09474339566469742,1.0,7.5,1.6,8.7,Motor,287.0,287.0,11.54,11.14,Hughes
56,Florida 7,4.125,34,N,QD205FX,PDC,Anticlinal P,Mirador,37.99999999999999,16748,16786,16767.0,5.0,11.0,103.0,106.0,0.648,0.0895767446297132,2.0,4.0,2.2,8.7,Motor,278.0,285.0,11.52,10.82,Hughes
57,Florida 7,4.125,35,N,QD205FX,PDC,Anticlinal P,Mirador,48.00000000000001,16786,16866,16826.0,5.0,11.0,90.0,108.0,0.65,0.0947024130083397,2.0,4.0,2.1,8.75,Motor,245.0,296.0,11.54,10.8,Hughes
58,Florida 7,4.125,35,N,QD205FX,PDC,Anticlinal P,Los Cuervos,32.0,16786,16866,16826.0,5.0,11.0,90.0,108.0,0.65,0.0947024130083397,2.0,4.0,2.1,8.75,Motor,245.0,296.0,11.54,10.8,Hughes
