Well;Size;Bit_Number;Re_Run;Reference;Type;Date_in;Structure;Formation;Footage (ft);Depth in (ft);Depth out (ft);Depth Average (ft);Blades;Cutter size (mm);Min Flow Rate (gpm);Max Flow Rate (gpm);TFA (sq in);HSI;Min WOB (klb);Max WOB (klb);Average_ROP;Mud Weight (ppg);Dull_Grading;Drive_System;Min_RPM;Max_RPM;Torque Max (kft-lb);Torque Min (kft-lb);Manufacturer
Florida 7;6;24;RR;DSR713M;PDC;21-mar-11;Anticlinal F;Los Cuervos;13;14666;14679;14672,5;7;13;200;220;0,82;0,267;7;20;13;9,8;0-0-NO-A-X-I-NO-RIG;Rotary;68;68;9,3;9,7;Hycalog
Florida 7;6;24;R4;DSR713M;PDC;4-abr-11;Anticlinal F;Los Cuervos;9;14682;14691;14686,5;7;13;150;400;0,819;1,780;5;10;4,24;9,8;0-0-NO-A-X-I-NO-BHA;Rotary;90;100;9,6;9;Hycalog
Florida 7;6;24;R5;DSR713M;PDC;10-abr-11;Anticlinal F;Los Cuervos;169;14691;15272;14981,5;7;13;220;250;0,976;0,324;5;16;8,3;9,8;1-2-WT-A-X-I-CT-PR;RSS;70;120;10,1;8,65;Hycalog
Florida 7;6;24;R5;DSR713M;PDC;10-abr-11;Anticlinal F;C8;348;14691;15272;14981,5;7;13;220;250;0,976;0,324;5;16;8,3;9,8;1-2-WT-A-X-I-CT-PR;RSS;70;120;10,1;8,65;Hycalog
Florida 7;6;24;R5;DSR713M;PDC;10-abr-11;Anticlinal F;Mirador;64;14691;15272;14981,5;7;13;220;250;0,976;0,324;5;16;8,3;9,8;1-2-WT-A-X-I-CT-PR;RSS;70;120;10,1;8,65;Hycalog
Florida 7;6;25;;Q406HX;PDC;15-abr-11;Anticlinal F;Mirador;102;15272;15374;15323;6;13;250;250;0,971;0,301;4;16;2,7;10,6;3-4-BT-S-X-I-JD-PR;Rotary;80;100;11;11,5;Hughes
Florida 7;6;26;;HHS352;Impregnated;23-abr-11;Anticlinal F;Mirador;150;15374;15524;15449;12;8;250;250;1,087;0,300;1;6;1,67;10,6;1-1-WT-A-X-I-NO-BHA;RSS;30;50;9,95;9,6;Hughes
Florida 7;6;27;;K505TBPXXC;Impregnated;30-abr-11;Anticlinal F;Mirador;254;15524;15778;15651;12;5;200;212;0,5;1,000;2;7;3,44;10,6;2-4-WT-A-X-I-PN-PR;Turbine;200;212;10,1;9,5;Smith
Florida 7;6;28;;QD307F;PDC;7-may-11;Anticlinal F;Mirador;74;15778;15989;15883,5;7;11;250;270;2,14;0,078;60;60;4;10,6;7-4-RO-A-X-I-BT-PR;Turbine;185;185;10,56;9,79;Hughes
Florida 7;6;28;;QD307F;PDC;7-may-11;Anticlinal F;C8;116;15778;15989;15883,5;7;11;250;270;2,14;0,078;60;60;4;10,6;7-4-RO-A-X-I-BT-PR;Turbine;185;185;10,56;9,79;Hughes
Florida 7;6;28;;QD307F;PDC;7-may-11;Anticlinal P;C8;21;15778;15989;15883,5;7;11;250;270;2,14;0,078;60;60;4;10,6;7-4-RO-A-X-I-BT-PR;Turbine;185;185;10,56;9,79;Hughes
Florida 7;4 1/8;29;;DSR711M;PDC;13-may-11;Anticlinal P;C8;415;15989;16465;16227;7;11;220;250;1,022;0,310;2;10;6,24;10,6;6-4-WT-A-X-I-NO-PR;Motor;142;146;10,4;9,8;Hycalog
Florida 7;4 1/8;29;;DSR711M;PDC;13-may-11;Anticlinal P;Mirador;61;15989;16465;16227;7;11;220;250;1,022;0,310;2;10;6,24;10,6;6-4-WT-A-X-I-NO-PR;Motor;142;146;10,4;9,8;Hycalog
Florida 7;4 1/8;30;;MSi613;PDC;20-may-11;Anticlinal P;Mirador;11;16465;16476;16470,5;6;13;250;293;0,778;0,520;2;10;4,58;10,6;0-0-NO-A-X-I-CT-LOG;Rotary;50;80;11,6;10,6;Smith
Florida 7;4 1/8;31;R;QD205FX;PDC;9-jun-11;Anticlinal P;Mirador;74;16476;16550;16513;5;11;110;110;0,552;0,323;1;4;1,28;8,7;4-3-WT-S-X-1-CT-BHA;Rotary;296;296;10,2;4,6;Hughes
Florida 7;4 1/8;32;;HHS158;PDC;17-jun-11;Anticlinal P;Mirador;38;16550;16588;16569;8;;100;107;0,79;0,062;1,5;4,5;1,36;8,7;0-0-PN-G-X-I-WT-PR;Motor;240;270;10,12;9,7;Hughes
Florida 7;4 1/8;33;;QD205FX;PDC;21-jun-11;Anticlinal P;Mirador;160;16588;16748;16668;5;11;103;108;0,648;0,095;1;7,5;1,6;8,7;5-3-RO-N-X-1-BT-PR;Motor;287;287;11,54;11,14;Hughes
Florida 7;4 1/8;34;;QD205FX;PDC;29-jun-11;Anticlinal P;Mirador;38;16748;16786;16767;5;11;103;106;0,648;0,090;2;4;2,2;8,7;1-1-WT-N-X-I-BT-DTF;Motor;278;285;11,52;10,82;Hughes
Florida 7;4 1/8;35;;QD205FX;PDC;2-jul-11;Anticlinal P;Mirador;48;16786;16866;16826;5;11;90;108;0,65;0,095;2;4;2,1;8,75;3-2-BT-A-X-I-WT-TD;Motor;245;296;11,54;10,8;Hughes
Florida 7;4 1/8;35;;QD205FX;PDC;2-jul-11;Anticlinal P;Los Cuervos;32;16786;16866;16826;5;11;90;108;0,65;0,095;2;4;2,1;8,75;3-2-BT-A-X-I-WT-TD;Motor;245;296;11,54;10,8;Hughes
Peru Sur 8;26;1;;GTX-C3MG1;Tricone;23-dic-12;Anticlinal N;Colluvium;272;52;620;336;;;200;913;0,729;1;0;50;10,76;8,6;3-4-WT-A-E-I-NO-BHA;Rotary;30;90;15;2;Hughes
Peru Sur 8;26;1;;GTX-C3MG1;Tricone;23-dic-12;Anticlinal N;C2;296;52;620;336;;;200;913;0,729;1;0;50;10,76;8,6;3-4-WT-A-E-I-NO-BHA;Rotary;30;90;15;2;Hughes
Peru Sur 8;26;2;;S819SPX;PDC;29-dic-12;Anticlinal N;C2;60;620;1400;1010;8;19;760;766;0,928;0,42;7;15;9,87;8,9;1-1-CT-S-X-I-NO-TD;RSS;90;130;10;3;Smith
Peru Sur 8;26;2;;S819SPX;PDC;29-dic-12;Anticlinal N;C3;519;620;1400;1010;8;19;760;766;0,928;0,42;7;15;9,87;8,9;1-1-CT-S-X-I-NO-TD;RSS;90;130;10;3;Smith
