Size,Re_Run,Type,Structure,Formation,Log Footage,Depth Average,Blades,Cutter size,Min Flow Rate,Max Flow Rate,TFA,HSI,Log Min WOB,Max WOB,Log ROP,Mud Weight,Drive_System,Min_RPM,Max_RPM,Torque Max,Torque Min,Manufacturer
4.125,0,2,5,8,6.028278520230698,16227.0,7.0,11.0,220.0,250.0,1.022,0.31,0.6931471805599453,10.0,1.8309801823813363,10.6,0,142.0,146.0,10.4,9.8,2
4.125,0,2,5,18,4.110873864173311,16227.0,7.0,11.0,220.0,250.0,1.022,0.31,0.6931471805599453,10.0,1.8309801823813363,10.6,0,142.0,146.0,10.4,9.8,2
4.125,0,2,5,18,2.3978952727983707,16470.5,6.0,13.0,250.0,293.0,0.778,0.52,0.6931471805599453,10.0,1.5216989981260935,10.6,2,50.0,80.0,11.6,10.6,4
4.125,1,2,5,18,4.30406509320417,16513.0,5.0,11.0,110.0,110.0,0.552,0.323,0.0,4.0,0.2468600779315258,8.7,2,50.0,80.0,10.2,4.6,1
4.125,0,2,5,18,3.6375861597263857,16569.0,8.0,11.0,100.0,107.0,0.79,0.06199045754166958,0.4054651081081644,4.5,0.3074846997479607,8.7,0,240.0,270.0,10.12,9.7,1
4.125,0,2,5,18,5.075173815233827,16668.0,5.0,11.0,103.0,108.0,0.648,0.09474339566469742,0.0,7.5,0.47000362924573563,8.7,0,287.0,287.0,11.54,11.14,1
4.125,0,2,5,18,3.6375861597263857,16767.0,5.0,11.0,103.0,106.0,0.648,0.0895767446297132,0.6931471805599453,4.0,0.7884573603642703,8.7,0,278.0,285.0,11.52,10.82,1
4.125,0,2,5,18,3.871201010907891,16826.0,5.0,11.0,90.0,108.0,0.65,0.0947024130083397,0.6931471805599453,4.0,0.7419373447293773,8.75,0,245.0,296.0,11.54,10.8,1
4.125,0,2,5,17,3.4657359027997265,16826.0,5.0,11.0,90.0,108.0,0.65,0.0947024130083397,0.6931471805599453,4.0,0.7419373447293773,8.75,0,245.0,296.0,11.54,10.8,1
26.0,0,3,4,10,5.605802066295998,336.0,3.0,0.0,200.0,913.0,0.729,1.0,3.295836866004329,50.0,2.3758355547336385,8.6,2,30.0,90.0,15.0,2.0,1
26.0,0,3,4,2,5.69035945432406,336.0,3.0,0.0,200.0,913.0,0.729,1.0,3.295836866004329,50.0,2.3758355547336385,8.6,2,30.0,90.0,15.0,2.0,1
26.0,0,2,4,2,4.0943445622221,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,1.9459101490553132,15.0,2.28949985344539,8.9,1,90.0,130.0,10.0,3.0,4
26.0,0,2,4,3,6.251903883165888,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,1.9459101490553132,15.0,2.28949985344539,8.9,1,90.0,130.0,10.0,3.0,4
26.0,0,2,4,4,5.153291594497779,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,1.9459101490553132,15.0,2.28949985344539,8.9,1,90.0,130.0,10.0,3.0,4
26.0,0,2,4,5,3.332204510175204,1010.0,8.0,19.0,760.0,766.0,0.928,0.42,1.9459101490553132,15.0,2.28949985344539,8.9,1,90.0,130.0,10.0,3.0,4
18.5,0,2,4,5,7.658227526161352,2520.5,8.0,19.0,880.0,915.0,1.003,1.5,2.302585092994046,50.0,2.961140828784372,9.3,1,80.0,140.0,14.0,3.0,2
18.5,0,2,3,8,4.736198448394496,2520.5,8.0,19.0,880.0,915.0,1.003,1.5,2.302585092994046,50.0,2.961140828784372,9.3,1,80.0,140.0,14.0,3.0,2
18.5,0,2,3,18,2.1972245773362196,2520.5,8.0,19.0,880.0,915.0,1.003,1.5,2.302585092994046,50.0,2.961140828784372,9.3,1,80.0,140.0,14.0,3.0,2
18.5,0,2,3,18,5.181783550292085,3730.0,8.0,16.0,880.0,915.0,1.003,1.5,2.302585092994046,50.0,1.8562979903656263,9.3,1,80.0,120.0,14.0,3.0,2
18.5,0,3,3,18,5.389071729816501,3928.5,3.0,0.0,900.0,950.0,1.022,1.52,2.70805020110221,40.0,1.4182774069729414,9.3,1,80.0,120.0,6.0,2.0,4
18.5,0,3,3,18,5.934894195619588,4227.0,3.0,0.0,900.0,900.0,0.994,1.39,3.4011973816621555,50.0,1.4883995840570443,9.4,1,90.0,95.0,7.0,3.0,4
18.5,0,3,3,18,5.147494476813453,4503.0,3.0,0.0,900.0,900.0,0.776,2.2,2.302585092994046,53.0,1.4539530095937054,9.5,2,80.0,110.0,7.0,4.0,1
18.5,1,2,3,18,6.255750041753367,4849.5,8.0,16.0,449.0,950.0,1.078,1.18,1.6094379124341003,40.0,1.791759469228055,9.6,1,70.0,150.0,16.0,3.5,2
18.5,0,3,3,18,5.455321115357702,5227.0,3.0,0.0,750.0,850.0,0.994,1.14,3.4011973816621555,55.0,1.1410330045520618,9.8,0,106.0,128.0,6.666666666666667,3.0,4
18.5,0,2,3,18,5.6131281063880705,5499.5,8.0,16.0,850.0,900.0,1.021,1.05,2.70805020110221,60.0,1.425515074273172,9.8,1,60.0,140.0,12.0,5.0,1
18.5,0,2,3,17,3.6109179126442243,5499.5,8.0,16.0,850.0,900.0,1.021,1.05,2.70805020110221,60.0,1.425515074273172,9.8,1,60.0,140.0,12.0,5.0,1
18.5,0,2,3,17,5.981414211254481,5853.0,7.0,19.0,900.0,900.0,0.928,1.5,1.6094379124341003,62.0,1.9740810260220096,9.9,1,80.0,140.0,15.0,4.0,0
14.75,0,2,3,17,7.02197642307216,6618.5,9.0,19.0,800.0,900.0,0.84,3.28,1.6094379124341003,55.0,2.2027647577118348,10.6,1,70.0,155.0,14.0,8.0,1
14.75,0,2,3,18,2.6390573296152584,6618.5,9.0,19.0,800.0,900.0,0.84,3.28,1.6094379124341003,55.0,2.2027647577118348,10.6,1,70.0,155.0,14.0,8.0,1
14.75,0,2,3,18,5.438079308923196,7301.0,8.0,16.0,775.0,900.0,0.996,2.5,2.70805020110221,50.0,1.4011829736136412,11.2,1,90.0,145.0,15.0,9.0,1
14.75,0,3,3,18,5.0369526024136295,7493.0,3.0,0.0,775.0,850.0,0.994,1.58,3.912023005428146,60.0,0.45107561936021673,11.3,2,35.0,55.0,11.0,8.0,1
14.75,0,2,3,18,5.655991810819852,7713.0,8.0,13.0,753.0,852.0,1.037,2.0437,0.0,40.0,1.2499017362143359,11.3,2,40.0,145.0,15.0,8.5,0
14.75,0,2,3,18,5.717027701406222,8008.0,6.0,16.0,770.0,800.0,1.037,1.76,0.0,50.0,0.8153648132841944,11.3,2,40.0,150.0,15.0,8.0,4
14.75,0,2,3,18,5.8522024797744745,8334.0,10.0,16.0,750.0,850.0,0.994,1.841,1.6094379124341003,42.0,0.8878912573524571,11.3,2,60.0,155.0,15.0,9.0,2
14.75,0,2,3,18,4.653960350157523,9171.5,9.0,19.0,840.0,900.0,1.086,1.8,1.6094379124341003,40.0,2.5257286443082556,11.3,1,80.0,160.0,18.0,14.0,1
14.75,0,2,3,8,7.002155954403621,9171.5,9.0,19.0,840.0,900.0,1.086,1.8,1.6094379124341003,40.0,2.5257286443082556,11.3,1,80.0,160.0,18.0,14.0,1
14.75,0,2,3,7,4.812184355372417,9171.5,9.0,19.0,840.0,900.0,1.086,1.8,1.6094379124341003,40.0,2.5257286443082556,11.3,1,80.0,160.0,18.0,14.0,1
14.75,0,2,3,7,5.41610040220442,10355.0,6.0,19.0,840.0,890.0,1.032,1.71,1.6094379124341003,30.0,2.6390573296152584,11.3,1,90.0,140.0,14.0,16.0,4
14.75,0,2,6,6,4.543294782270004,10355.0,6.0,19.0,840.0,890.0,1.032,1.71,1.6094379124341003,30.0,2.6390573296152584,11.3,1,90.0,140.0,14.0,16.0,4
14.75,0,2,6,7,6.580639137284949,10355.0,6.0,19.0,840.0,890.0,1.032,1.71,1.6094379124341003,30.0,2.6390573296152584,11.3,1,90.0,140.0,14.0,16.0,4
14.75,1,2,6,7,6.023447592961033,11081.5,9.0,19.0,810.0,850.0,1.086,1.73,1.6094379124341003,50.0,1.6882490928583902,11.7,1,90.0,140.0,22.0,16.0,1
14.75,0,2,6,7,6.588926477533519,11735.5,7.0,19.0,850.0,850.0,1.178,1.47,1.6094379124341003,30.0,2.194999882314108,11.7,1,100.0,120.0,22.0,16.0,1
14.75,0,2,6,8,5.123963979403259,11735.5,7.0,19.0,850.0,850.0,1.178,1.47,1.6094379124341003,30.0,2.194999882314108,11.7,1,100.0,120.0,22.0,16.0,1
14.75,1,2,6,7,2.833213344056216,12191.5,7.0,19.0,805.0,805.0,1.335,0.97,2.70805020110221,18.0,2.244955980157409,11.8,2,120.0,120.0,18.0,17.0,1
10.625,0,2,6,7,4.867534450455582,12265.0,7.0,16.0,550.0,600.0,1.052,0.885,1.0986122886681098,20.0,3.912023005428146,12.0,2,30.0,50.0,19.0,8.0,0
10.625,0,2,6,7,5.768320995793772,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,1.6094379124341003,30.0,2.932792473780117,12.1,1,120.0,120.0,21.0,13.0,4
10.625,0,2,6,8,5.5134287461649825,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,1.6094379124341003,30.0,2.932792473780117,12.1,1,120.0,120.0,21.0,13.0,4
10.625,0,2,2,7,6.8501261661455,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,1.6094379124341003,30.0,2.932792473780117,12.1,1,120.0,120.0,21.0,13.0,4
10.625,0,2,2,8,6.635946555686647,13467.0,7.0,16.0,775.0,790.0,1.19,2.27,1.6094379124341003,30.0,2.932792473780117,12.1,1,120.0,120.0,21.0,13.0,4
10.625,0,2,2,8,5.762051382780177,14763.0,7.0,16.0,690.0,770.0,1.19,1.1905,2.8903717578961645,30.0,2.5718485799218085,12.15,1,100.0,124.0,19.0,17.0,2
10.625,1,2,2,18,1.3862943611198906,14924.0,7.0,16.0,500.0,500.0,1.19,2.14625,2.4849066497880004,20.0,1.5555095704085444,12.15,2,90.0,90.0,16.0,12.0,2
8.5,0,2,2,18,4.189654742026425,14959.0,7.0,13.0,350.0,450.0,0.778,1.5,1.0986122886681098,25.0,1.747459210331475,8.4,2,100.0,130.0,16.0,12.0,0
8.5,0,2,2,18,1.791759469228055,14995.0,7.0,16.0,250.0,540.0,1.553,2.36,0.6931471805599453,20.0,1.1939224684724346,8.4,3,30.0,131.66666666666666,16.0,9.0,4
8.5,0,1,2,18,5.8944028342648505,15179.5,12.0,0.0,560.0,560.0,0.662,3.22,0.6931471805599453,21.0,1.2499017362143359,9.4,0,185.0,185.0,19.0,16.0,1
8.5,0,1,2,18,5.393627546352362,15537.5,16.0,0.0,560.0,580.0,1.5,0.65,0.6931471805599453,23.0,1.3987168811184478,8.4,0,185.0,191.0,17.0,13.0,1
8.5,0,1,2,17,4.890349128221754,15537.5,16.0,0.0,560.0,580.0,1.5,0.65,0.6931471805599453,23.0,1.3987168811184478,8.4,0,185.0,191.0,17.0,13.0,1
8.5,0,2,2,17,5.4680601411351315,15886.5,7.0,16.0,550.0,550.0,0.773,2.33,0.6931471805599453,20.0,1.6695918352538475,9.4,1,80.0,127.0,24.0,14.0,4
8.5,0,2,5,8,4.499809670330265,15886.5,7.0,16.0,550.0,550.0,0.773,2.33,0.6931471805599453,20.0,1.6695918352538475,9.4,1,80.0,127.0,24.0,14.0,4
8.5,0,2,5,8,4.6913478822291435,16104.5,7.0,16.0,550.0,550.0,0.773,2.498,1.791759469228055,24.0,1.2809338454620642,9.4,1,60.0,140.0,24.0,14.0,2
8.5,0,2,5,18,4.718498871295094,16215.0,8.0,13.0,275.0,550.0,0.778,2.142,0.9162907318741551,26.0,1.0986122886681098,9.4,2,80.0,130.0,22.0,15.0,4
8.5,0,2,5,18,5.780743515792329,16433.0,8.0,13.0,275.0,550.0,0.813,2.014,1.3862943611198906,30.0,1.1631508098056809,9.4,2,85.0,140.0,19.0,13.5,4
8.5,0,2,5,18,5.241747015059643,16689.5,8.0,13.0,550.0,550.0,0.884,1.894,0.0,40.0,0.9162907318741551,9.4,2,80.0,145.0,18.0,14.0,0
8.5,0,3,5,18,4.499809670330265,17182.5,3.0,0.0,550.0,565.0,0.601,4.249,0.6931471805599453,40.0,2.1162555148025524,9.4,2,80.0,110.0,25.0,12.5,1
